字段,数值,说明
成交价,39,买家实际支付的单件成交价
进货成本,18,商品采购或生产成本
包材成本,2,纸箱/胶带/标签/填充物等
发出运费,5,已发货订单的正向物流成本
退回运费,6,发生退货时卖家承担或间接承担的返程物流
平台+支付费率%,6,按保留成交额计提的费率
已发货退款率%,12,只计算已发货后产生物流/货损风险的退款
退货货损比例%,20,退回商品不能按原价再次销售的成本比例
广告成本/下单,9,广告消耗除以下单数
其他成本/下单,1,赠品/仓内操作/订单短信等随下单发生的成本
月下单数,100,用于估算月度贡献
目标贡献率%,15,用于反推目标售价
输出,,
每下单期望收入,=B2*(1-B8/100),成交价 × 未退款成交占比
平台费期望,=B15*B7/100,按保留成交额计提
商品成本期望,=B3*(1-B8/100)+B3*(B8/100)*(B9/100),未退款成交商品成本 + 退款货损成本
退回运费期望,=B6*(B8/100),退货概率 × 返程运费
非广告变动成本,=B17+B18+B4+B5+B11,不含广告的每下单变动成本
每下单贡献利润,=B15-B16-B17-B18-B4-B5-B10-B11,已发货退款后的每下单贡献
贡献利润率,=IF(B15>0,B20/B15,0),每下单贡献利润 ÷ 每下单期望收入
保本售价,=(B19+B10)/((1-B8/100)*(1-B7/100)),当前成本结构下不亏钱的售价
目标售价,=(B19+B10)/((1-B8/100)*(1-B7/100-B13/100)),达到目标贡献率需要的售价
最高广告成本/下单,=B15*(1-B7/100)-B19,当前售价下最多还能承受的广告成本
当前ROAS,=IF(B10>0,B15/B10,""),每下单期望收入 ÷ 广告成本/下单
保本ROAS,=IF(B24>0,B15/B24,""),每下单期望收入 ÷ 最高广告成本/下单
月贡献利润,=B20*B12,每下单贡献 × 月下单数
